bug_id,project,file,full_path,original_bug_line,tier3_mutation_type,tier3_mutation_line,tier4_mutation_line,has_tier5
Lang_15,Lang,TypeUtils.java,org/apache/commons/lang3/reflect/TypeUtils.java,675,off_by_one,143,143,yes
Lang_16,Lang,NumberUtils.java,org/apache/commons/lang3/math/NumberUtils.java,458,off_by_one,739,739,yes
Lang_17,Lang,CharSequenceTranslator.java,org/apache/commons/lang3/text/translate/CharSequenceTranslator.java,83,off_by_one,94,93,yes
Lang_19,Lang,NumericEntityUnescaper.java,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,40,operator_swap,40,40,yes
Lang_20,Lang,StringUtils.java,org/apache/commons/lang3/StringUtils.java,3298,off_by_one,226,226,yes
Lang_21,Lang,DateUtils.java,org/apache/commons/lang3/time/DateUtils.java,,off_by_one,335,335,yes
Lang_22,Lang,Fraction.java,org/apache/commons/lang3/math/Fraction.java,,operator_swap,189,189,no
Lang_23,Lang,ExtendedMessageFormat.java,org/apache/commons/lang3/text/ExtendedMessageFormat.java,,off_by_one,202,201,no
Lang_24,Lang,NumberUtils.java,org/apache/commons/lang3/math/NumberUtils.java,,off_by_one,747,747,no
Lang_26,Lang,FastDateFormat.java,org/apache/commons/lang3/time/FastDateFormat.java,,off_by_one,591,591,no
Lang_27,Lang,NumberUtils.java,org/apache/commons/lang3/math/NumberUtils.java,,off_by_one,747,744,no
Lang_28,Lang,NumericEntityUnescaper.java,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,,operator_swap,37,37,no
Lang_29,Lang,SystemUtils.java,org/apache/commons/lang3/SystemUtils.java,,off_by_one,1411,1411,no
Lang_3,Lang,NumberUtils.java,org/apache/commons/lang3/math/NumberUtils.java,592,off_by_one,783,779,yes
Lang_30,Lang,StringUtils.java,org/apache/commons/lang3/StringUtils.java,,off_by_one,235,235,no
Lang_31,Lang,StringUtils.java,org/apache/commons/lang3/StringUtils.java,,off_by_one,235,235,no
Lang_32,Lang,HashCodeBuilder.java,org/apache/commons/lang3/builder/HashCodeBuilder.java,,off_by_one,636,627,no
Lang_33,Lang,ClassUtils.java,org/apache/commons/lang3/ClassUtils.java,,off_by_one,91,91,no
Lang_34,Lang,ToStringStyle.java,org/apache/commons/lang3/builder/ToStringStyle.java,,off_by_one,411,411,no
Lang_35,Lang,ArrayUtils.java,org/apache/commons/lang3/ArrayUtils.java,,off_by_one,228,228,no
Lang_36,Lang,NumberUtils.java,org/apache/commons/lang3/math/NumberUtils.java,,off_by_one,740,740,no
Lang_37,Lang,ArrayUtils.java,org/apache/commons/lang3/ArrayUtils.java,,off_by_one,228,228,no
Lang_38,Lang,FastDateFormat.java,org/apache/commons/lang3/time/FastDateFormat.java,,off_by_one,591,591,no
Lang_39,Lang,StringUtils.java,org/apache/commons/lang3/StringUtils.java,,off_by_one,232,232,no
Lang_4,Lang,LookupTranslator.java,org/apache/commons/lang3/text/translate/LookupTranslator.java,31,operator_swap,72,72,yes
Lang_40,Lang,StringUtils.java,org/apache/commons/lang/StringUtils.java,,off_by_one,233,233,no
Lang_41,Lang,ClassUtils.java,org/apache/commons/lang/ClassUtils.java,,off_by_one,91,91,no
Lang_42,Lang,Entities.java,org/apache/commons/lang/Entities.java,,off_by_one,560,560,no
Lang_43,Lang,ExtendedMessageFormat.java,org/apache/commons/lang/text/ExtendedMessageFormat.java,,off_by_one,275,275,no
Lang_44,Lang,NumberUtils.java,org/apache/commons/lang/NumberUtils.java,,off_by_one,599,596,no
Lang_45,Lang,WordUtils.java,org/apache/commons/lang/WordUtils.java,,off_by_one,283,283,no
Lang_46,Lang,StringEscapeUtils.java,org/apache/commons/lang/StringEscapeUtils.java,,off_by_one,188,187,no
Lang_47,Lang,StrBuilder.java,org/apache/commons/lang/text/StrBuilder.java,,off_by_one,204,204,no
Lang_49,Lang,Fraction.java,org/apache/commons/lang/math/Fraction.java,,operator_swap,184,184,no
Lang_5,Lang,LocaleUtils.java,org/apache/commons/lang3/LocaleUtils.java,96,off_by_one,260,239,yes
Lang_50,Lang,FastDateFormat.java,org/apache/commons/lang/time/FastDateFormat.java,,off_by_one,590,594,no
Lang_51,Lang,BooleanUtils.java,org/apache/commons/lang/BooleanUtils.java,,off_by_one,707,706,no
Lang_52,Lang,StringEscapeUtils.java,org/apache/commons/lang/StringEscapeUtils.java,,off_by_one,180,180,no
Lang_53,Lang,DateUtils.java,org/apache/commons/lang/time/DateUtils.java,,off_by_one,259,259,no
Lang_54,Lang,LocaleUtils.java,org/apache/commons/lang/LocaleUtils.java,,off_by_one,245,242,no
Lang_55,Lang,StopWatch.java,org/apache/commons/lang/time/StopWatch.java,,operator_swap,197,195,no
Lang_56,Lang,FastDateFormat.java,org/apache/commons/lang/time/FastDateFormat.java,,off_by_one,595,595,no
Lang_57,Lang,LocaleUtils.java,org/apache/commons/lang/LocaleUtils.java,,off_by_one,242,242,no
Lang_58,Lang,NumberUtils.java,org/apache/commons/lang/math/NumberUtils.java,,off_by_one,689,690,no
Lang_59,Lang,StrBuilder.java,org/apache/commons/lang/text/StrBuilder.java,,off_by_one,204,204,no
Lang_6,Lang,CharSequenceTranslator.java,org/apache/commons/lang3/text/translate/CharSequenceTranslator.java,95,off_by_one,94,94,yes
Lang_60,Lang,StrBuilder.java,org/apache/commons/lang/text/StrBuilder.java,,off_by_one,204,204,no
Lang_61,Lang,StrBuilder.java,org/apache/commons/lang/text/StrBuilder.java,,off_by_one,204,204,no
Lang_7,Lang,NumberUtils.java,org/apache/commons/lang3/math/NumberUtils.java,720,off_by_one,748,748,yes
Lang_8,Lang,FastDatePrinter.java,org/apache/commons/lang3/time/FastDatePrinter.java,1098,off_by_one,181,181,yes
Lang_9,Lang,FastDateParser.java,org/apache/commons/lang3/time/FastDateParser.java,143,off_by_one,288,285,yes
Math_1,Math,BigFraction.java,org/apache/commons/math3/fraction/BigFraction.java,305,operator_swap,192,192,yes
Math_10,Math,DSCompiler.java,org/apache/commons/math3/analysis/differentiation/DSCompiler.java,1418,off_by_one,80,80,yes
Math_11,Math,MultivariateNormalDistribution.java,org/apache/commons/math3/distribution/MultivariateNormalDistribution.java,183,off_by_one,111,111,yes
Math_12,Math,BitsStreamGenerator.java,org/apache/commons/math3/random/BitsStreamGenerator.java,18,operator_swap,72,69,yes
Math_13,Math,AbstractLeastSquaresOptimizer.java,org/apache/commons/math3/optimization/general/AbstractLeastSquaresOptimizer.java,561,off_by_one,172,172,yes
Math_14,Math,AbstractLeastSquaresOptimizer.java,org/apache/commons/math3/optim/nonlinear/vector/jacobian/AbstractLeastSquaresOptimizer.java,266,off_by_one,172,172,yes
Math_15,Math,FastMath.java,org/apache/commons/math3/util/FastMath.java,312,off_by_one,3723,3722,yes
Math_16,Math,FastMath.java,org/apache/commons/math3/util/FastMath.java,81,off_by_one,3721,3702,yes
Math_17,Math,Dfp.java,org/apache/commons/math3/dfp/Dfp.java,1602,off_by_one,243,243,yes
Math_18,Math,CMAESOptimizer.java,org/apache/commons/math3/optimization/direct/CMAESOptimizer.java,932,off_by_one,374,374,yes
Math_19,Math,CMAESOptimizer.java,org/apache/commons/math3/optimization/direct/CMAESOptimizer.java,539,off_by_one,374,374,yes
Math_2,Math,HypergeometricDistribution.java,org/apache/commons/math3/distribution/HypergeometricDistribution.java,268,operator_swap,152,152,yes
Math_20,Math,CMAESOptimizer.java,org/apache/commons/math3/optimization/direct/CMAESOptimizer.java,921,off_by_one,368,368,yes
Math_3,Math,MathArrays.java,org/apache/commons/math3/util/MathArrays.java,820,off_by_one,87,87,yes
Math_4,Math,SubLine.java,org/apache/commons/math3/geometry/euclidean/threed/SubLine.java,113,,,,yes
Math_5,Math,Complex.java,org/apache/commons/math3/complex/Complex.java,305,off_by_one,1154,1154,yes
Math_6,Math,BaseOptimizer.java,org/apache/commons/math3/optim/BaseOptimizer.java,51,,,,yes
Math_7,Math,AbstractIntegrator.java,org/apache/commons/math3/ode/AbstractIntegrator.java,363,operator_swap,418,419,yes
Math_8,Math,DiscreteDistribution.java,org/apache/commons/math3/distribution/DiscreteDistribution.java,181,off_by_one,92,92,yes
Math_9,Math,Line.java,org/apache/commons/math3/geometry/euclidean/threed/Line.java,87,operator_swap,148,147,yes
