bug_id,file,actual_line,claude_line,original_code,fixed_code,fix_applied,n_failing_before,n_failing_after,tests_passed,improvement,claude_fix_response
13,BorderArrangement,455,467,"this.bottomBlock.setBounds(new Rectangle2D.Double(0.0, h[0] + h[2],","this.bottomBlock.setBounds(new Rectangle2D.Double(0.0, h[0] + h[2] + h[4],",True,1,1,False,0,"ORIGINAL: this.bottomBlock.setBounds(new Rectangle2D.Double(0.0, h[0] + h[2], FIXED: this.bottomBlock.setBounds(new Rectangle2D.Double(0.0, h[0] + h[2] + h[4], EXPLANATION: The bottom block's y-coordinate should account for the top block (h[0]), center block (h[2]), and center block's height (h[4]), not just the top and center heights."
12,MultiplePiePlot,145,384,for (int i = 0; i < piedataset.getItemCount(); i++) {,for (int i = 0; i <= piedataset.getItemCount() - 1; i++) {,True,1,1,False,0,"ORIGINAL: for (int i = 0; i < piedataset.getItemCount(); i++) { FIXED: for (int i = 0; i < piedataset.getItemCount(); ++i) { EXPLANATION: The loop should use pre-increment (++i) instead of post-increment (i++) for consistency and to avoid creating unnecessary temporary objects, though the actual bug is likely in the loop boundary—this should iterate while `i < piedataset.getItemCount()` which is correct, but the real issue is that the loop counter should match the dataset's item indexing properly.  Actually, let me reconsider - examining line 384 more carefully in context of boundary errors:  ORIGINAL: for (int i = 0; i < piedataset.getItemCount(); i++) { FIXED: for (int i = 0; i <= piedataset.getItemCount() - 1; i++) { EXPLANATION: The boundary condition should use proper indexing; however the real fix is that `getItemCount()` returns the count, so `i < getItemCount()` is correct, but checking the actual line"
11,ShapeUtilities,275,281,PathIterator iterator2 = p1.getPathIterator(null);,PathIterator iterator2 = p2.getPathIterator(null);,True,1,0,True,1,"ORIGINAL: PathIterator iterator2 = p1.getPathIterator(null); FIXED: PathIterator iterator2 = p2.getPathIterator(null); EXPLANATION: The iterator2 should be created from p2, not p1, to properly compare two different GeneralPath objects."
10,StandardToolTipTagFragmentGenerator,65,62,"return "" title=\"""" + toolTipText","return "" title=\"""" + toolTipText.replace(""\"""", ""&quot;"")",True,1,0,True,1,"ORIGINAL: return "" title=\"""" + toolTipText FIXED: return "" title=\"""" + toolTipText.replace(""\"""", ""&quot;"") EXPLANATION: The toolTipText needs to escape double quotes to prevent breaking out of the HTML attribute value, as mentioned in the changelog about escaping tool tip text to fix bug 1400917."
9,TimeSeries,944,1103,for (int index = start; index <= end; index++) {,for (int index = start; index <= end && index < this.data.size(); index++) {,True,1,1,False,0,ORIGINAL: for (int index = start; index <= end; index++) { FIXED: for (int index = start; index <= end && index < this.data.size(); index++) { EXPLANATION: The loop needs to check that the index does not exceed the data list size to prevent an IndexOutOfBoundsException when the end index is beyond the available data.
8,Week,175,124,if ((week < FIRST_WEEK_IN_YEAR) && (week > LAST_WEEK_IN_YEAR)) {,if ((week < FIRST_WEEK_IN_YEAR) || (week > LAST_WEEK_IN_YEAR)) {,True,1,1,False,0,ORIGINAL: if ((week < FIRST_WEEK_IN_YEAR) && (week > LAST_WEEK_IN_YEAR)) { FIXED: if ((week < FIRST_WEEK_IN_YEAR) || (week > LAST_WEEK_IN_YEAR)) { EXPLANATION: The condition should use OR (||) instead of AND (&&) because a week cannot be both less than 1 AND greater than 53 simultaneously; it should be rejected if it's either condition.
7,TimePeriodValues,300,324,long s = getDataItem(this.minMiddleIndex).getPeriod().getStart(),long s = getDataItem(this.maxMiddleIndex).getPeriod().getStart(),True,1,1,False,0,ORIGINAL: long s = getDataItem(this.minMiddleIndex).getPeriod().getStart() FIXED: long s = getDataItem(this.maxMiddleIndex).getPeriod().getStart() EXPLANATION: The maxMiddleIndex calculation was incorrectly using minMiddleIndex instead of maxMiddleIndex to retrieve the comparison value.
6,ShapeList,111,160,for (int i = 0; i < count; i++) {,for (int i = 0; i <= count; i++) {,True,2,2,False,0,ORIGINAL: for (int i = 0; i < count; i++) { FIXED: for (int i = 0; i <= count; i++) { EXPLANATION: The loop should iterate through all count items using <= instead of < to avoid skipping the last element when reading serialized shapes.
5,XYSeries,542,393,if (index >= 0 && !this.allowDuplicateXValues) {,if (index >= 0) {,True,1,2,False,-1,"ORIGINAL: if (index >= 0 && !this.allowDuplicateXValues) { FIXED: if (index >= 0) { EXPLANATION: The condition should not check `!this.allowDuplicateXValues` because when duplicate X values are allowed and an existing index is found, the item should still be updated/overwritten rather than added as a duplicate."
3,TimeSeries,1056,1024,"this.maxY = minIgnoreNaN(this.maxY, yy);","this.maxY = maxIgnoreNaN(this.maxY, yy);",True,1,1,False,0,"ORIGINAL: this.maxY = minIgnoreNaN(this.maxY, yy); FIXED: this.maxY = maxIgnoreNaN(this.maxY, yy); EXPLANATION: Line 1024 incorrectly uses `minIgnoreNaN()` instead of `maxIgnoreNaN()` when updating the maximum y-value, causing the maximum bound to be calculated incorrectly."
1,AbstractCategoryItemRenderer,1797,1504,if (dataset != null) {,if (dataset == null) {,True,1,9,False,-8,"ORIGINAL: if (dataset != null) { FIXED: if (dataset == null) { EXPLANATION: The condition should return early if the dataset is null, not continue processing when it is null."
