project,bug_id,file,actual_line,claude_line,n_before,n_after,flipped_to_pass,flipped_to_fail,still_failing,n_flipped_to_pass,n_flipped_to_fail,any_flip_to_pass,clean_pass
Chart,7,TimePeriodValues,300,324,1,1,,,org.jfree.data.time.junit.TimePeriodValuesTests::testGetMaxMiddleIndex,0,0,False,False
Chart,6,ShapeList,111,160,2,2,,,org.jfree.chart.util.junit.ShapeListTests::testEquals;org.jfree.chart.util.junit.ShapeListTests::testSerialization,0,0,False,False
Chart,5,XYSeries,542,393,1,2,,org.jfree.data.xy.junit.XYSeriesTests::testAddOrUpdate3,org.jfree.data.xy.junit.XYSeriesTests::testBug1955483,0,1,False,False
Chart,3,TimeSeries,1056,1024,1,1,,,org.jfree.data.time.junit.TimeSeriesTests::testCreateCopy3,0,0,False,False
Chart,1,AbstractCategoryItemRenderer,1797,1504,1,9,,org.jfree.chart.junit.BarChart3DTests::testDrawWithNullInfo;org.jfree.chart.junit.GanttChartTests::testDrawWithNullInfo2;org.jfree.chart.junit.LineChart3DTests::testDrawWithNullInfo;org.jfree.chart.junit.StackedAreaChartTests::testDrawWithNullInfo;org.jfree.chart.junit.StackedBarChartTests::testDrawWithNullInfo;org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests::testDrawWithNullInfo;org.jfree.chart.renderer.category.junit.LayeredBarRendererTests::testDrawWithNullInfo;org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests::testDrawWithNullInfo,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests::test2947660,0,8,False,False
Lang,3,NumberUtils,592,541,1,2,,org.apache.commons.lang3.math.NumberUtilsTest::testIsNumber,org.apache.commons.lang3.math.NumberUtilsTest::testStringCreateNumberEnsureNoPrecisionLoss,0,1,False,False
Lang,4,LookupTranslator,31,67,1,1,,,org.apache.commons.lang3.text.translate.LookupTranslatorTest::testLang882,0,0,False,False
Lang,5,LocaleUtils,96,113,1,2,,org.apache.commons.lang3.LocaleUtilsTest::testToLocale_3Part,org.apache.commons.lang3.LocaleUtilsTest::testLang865,0,1,False,False
Lang,6,CharSequenceTranslator,95,88,1,0,org.apache.commons.lang3.StringUtilsTest::testEscapeSurrogatePairs,,,1,0,True,True
Lang,7,NumberUtils,720,489,1,2,,org.apache.commons.lang3.math.NumberUtilsTest::testIsNumber,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,0,1,False,False
Lang,8,FastDatePrinter,1098,898,2,2,,,org.apache.commons.lang3.time.FastDateFormat_PrinterTest::testCalendarTimezoneRespected;org.apache.commons.lang3.time.FastDatePrinterTest::testCalendarTimezoneRespected,0,0,False,False
Lang,9,FastDateParser,143,285,2,33,,org.apache.commons.lang3.time.FastDateFormatTest::testParseSync;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testAmPm;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testDayOf;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLang538;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_LongNoEra_AD;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_LongNoEra_BC;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_Long_AD;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_Long_BC;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_ShortNoEra_AD;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_ShortNoEra_BC;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_Short_AD;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_Short_BC;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testParseLongShort;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testParseNumerics;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testQuotes;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testShortDateStyleWithLocales;org.apache.commons.lang3.time.FastDateParserTest::testAmPm;org.apache.commons.lang3.time.FastDateParserTest::testDayOf;org.apache.commons.lang3.time.FastDateParserTest::testLang538;org.apache.commons.lang3.time.FastDateParserTest::testLocales_LongNoEra_AD;org.apache.commons.lang3.time.FastDateParserTest::testLocales_LongNoEra_BC;org.apache.commons.lang3.time.FastDateParserTest::testLocales_Long_AD;org.apache.commons.lang3.time.FastDateParserTest::testLocales_Long_BC;org.apache.commons.lang3.time.FastDateParserTest::testLocales_ShortNoEra_AD;org.apache.commons.lang3.time.FastDateParserTest::testLocales_ShortNoEra_BC;org.apache.commons.lang3.time.FastDateParserTest::testLocales_Short_AD;org.apache.commons.lang3.time.FastDateParserTest::testLocales_Short_BC;org.apache.commons.lang3.time.FastDateParserTest::testParseLongShort;org.apache.commons.lang3.time.FastDateParserTest::testParseNumerics;org.apache.commons.lang3.time.FastDateParserTest::testQuotes;org.apache.commons.lang3.time.FastDateParserTest::testShortDateStyleWithLocales,org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLANG_832;org.apache.commons.lang3.time.FastDateParserTest::testLANG_832,0,31,False,False
Lang,10,FastDateParser,304,285,2,33,,org.apache.commons.lang3.time.FastDateFormatTest::testParseSync;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testAmPm;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testDayOf;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLang538;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_LongNoEra_AD;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_LongNoEra_BC;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_Long_AD;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_Long_BC;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_ShortNoEra_AD;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_ShortNoEra_BC;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_Short_AD;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLocales_Short_BC;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testParseLongShort;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testParseNumerics;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testQuotes;org.apache.commons.lang3.time.FastDateFormat_ParserTest::testShortDateStyleWithLocales;org.apache.commons.lang3.time.FastDateParserTest::testAmPm;org.apache.commons.lang3.time.FastDateParserTest::testDayOf;org.apache.commons.lang3.time.FastDateParserTest::testLang538;org.apache.commons.lang3.time.FastDateParserTest::testLocales_LongNoEra_AD;org.apache.commons.lang3.time.FastDateParserTest::testLocales_LongNoEra_BC;org.apache.commons.lang3.time.FastDateParserTest::testLocales_Long_AD;org.apache.commons.lang3.time.FastDateParserTest::testLocales_Long_BC;org.apache.commons.lang3.time.FastDateParserTest::testLocales_ShortNoEra_AD;org.apache.commons.lang3.time.FastDateParserTest::testLocales_ShortNoEra_BC;org.apache.commons.lang3.time.FastDateParserTest::testLocales_Short_AD;org.apache.commons.lang3.time.FastDateParserTest::testLocales_Short_BC;org.apache.commons.lang3.time.FastDateParserTest::testParseLongShort;org.apache.commons.lang3.time.FastDateParserTest::testParseNumerics;org.apache.commons.lang3.time.FastDateParserTest::testQuotes;org.apache.commons.lang3.time.FastDateParserTest::testShortDateStyleWithLocales,org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLANG_831;org.apache.commons.lang3.time.FastDateParserTest::testLANG_831,0,31,False,False
Lang,11,RandomStringUtils,243,257,1,1,,,org.apache.commons.lang3.RandomStringUtilsTest::testLANG807,0,0,False,False
Lang,12,RandomStringUtils,229,257,2,3,org.apache.commons.lang3.RandomStringUtilsTest::testExceptions,org.apache.commons.lang3.RandomStringUtilsTest::testLang100;org.apache.commons.lang3.RandomStringUtilsTest::testRandomStringUtils,org.apache.commons.lang3.RandomStringUtilsTest::testLANG805,1,2,True,False
Lang,14,StringUtils,787,2837,1,1,,,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testEquals,0,0,False,False
Lang,15,TypeUtils,675,595,2,2,,,org.apache.commons.lang3.reflect.TypeUtilsTest::testGetTypeArguments;org.apache.commons.lang3.reflect.TypeUtilsTest::testIsAssignable,0,0,False,False
Math,2,HypergeometricDistribution,268,280,1,1,org.apache.commons.math3.distribution.HypergeometricDistributionTest::testMath1021,org.apache.commons.math3.distribution.HypergeometricDistributionTest::testMoments,,1,1,True,False
Math,3,MathArrays,820,1066,1,2,,org.apache.commons.math3.util.MathArraysTest::testConvolve,org.apache.commons.math3.util.MathArraysTest::testLinearCombinationWithSingleElementArray,0,1,False,False
Math,4,SubLine,113,119,2,4,,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest::testIntersectionBoundaryBoundary;org.apache.commons.math3.geometry.euclidean.threed.SubLineTest::testIntersectionInsideBoundary,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest::testIntersectionNotIntersecting;org.apache.commons.math3.geometry.euclidean.twod.SubLineTest::testIntersectionParallel,0,2,False,False
Math,5,Complex,305,1071,1,5,,org.apache.commons.math3.complex.ComplexTest::testNthRoot_cornercase_thirdRoot_imaginaryPartEmpty;org.apache.commons.math3.complex.ComplexTest::testNthRoot_cornercase_thirdRoot_realPartZero;org.apache.commons.math3.complex.ComplexTest::testNthRoot_normal_fourthRoot;org.apache.commons.math3.complex.ComplexTest::testNthRoot_normal_thirdRoot,org.apache.commons.math3.complex.ComplexTest::testReciprocalZero,0,4,False,False
Math,6,BaseOptimizer,51,195,28,0,org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testTrivial;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testAckley;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testCigTab;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testCigar;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testCigarWithBoundaries;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testConstrainedRosen;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testDiagonalRosen;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testDiffPow;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testElliRotated;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testEllipse;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testMaximize;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testRastrigin;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testRosen;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testSphere;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testSsDiffPow;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testTablet;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testTwoAxes;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest::testSumSinc;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testMaximize1;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testMaximize2;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testMinimize1;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testMinimize2;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest::testMaximize1;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest::testMaximize2;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest::testMinimize1;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest::testMinimize2;org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizerTest::testGetIterations;org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testGetIterations,,,28,0,True,True
Math,7,AbstractIntegrator,363,382,1,1,,,org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest::testEventsScheduling,0,0,False,False
Math,8,DiscreteDistribution,181,161,1,1,,,org.apache.commons.math3.distribution.DiscreteRealDistributionTest::testIssue942,0,0,False,False
Math,9,Line,87,199,1,1,,,org.apache.commons.math3.geometry.euclidean.threed.LineTest::testRevert,0,0,False,False
Math,10,DSCompiler,1418,963,1,2,,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest::testCosAcos,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest::testAtan2SpecialCases,0,1,False,False
Math,11,MultivariateNormalDistribution,183,175,2,0,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest::testUnivariateDistribution;org.apache.commons.math3.optimization.direct.CMAESOptimizerTest::testAckley,,,2,0,True,True
Math,12,BitsStreamGenerator,18,88,3,3,,,org.apache.commons.math3.distribution.GammaDistributionTest::testDistributionClone;org.apache.commons.math3.distribution.LogNormalDistributionTest::testDistributionClone;org.apache.commons.math3.distribution.NormalDistributionTest::testDistributionClone,0,0,False,False
Math,13,AbstractLeastSquaresOptimizer,561,419,1,37,,org.apache.commons.math3.optimization.fitting.CurveFitterTest::testMath372;org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest::testCircleFitting;org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest::testCircleFittingGoodInit;org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest::testIllConditioned;org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest::testInconsistentSizes1;org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest::testInconsistentSizes2;org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest::testNoDependency;org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest::testOneSet;org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest::testTrivial;org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest::testTwoSets;org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest::testCircleFitting;org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest::testCircleFittingGoodInit;org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest::testIllConditioned;org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest::testInconsistentSizes1;org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest::testInconsistentSizes2;org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest::testNoDependency;org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest::testOneSet;org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest::testTrivial;org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest::testTwoSets;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackBard;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackBrownAlmostLinear;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackBrownDennis;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackChebyquad;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackFreudensteinRoth;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackHelicalValley;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackJennrichSampson;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackKowalikOsborne;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackLinearFullRank;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackLinearRank1;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackLinearRank1ZeroColsAndRows;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackMeyer;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackOsborne1;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackOsborne2;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackPowellSingular;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackRosenbrok;org.apache.commons.math3.optimization.general.MinpackTest::testMinpackWatson,org.apache.commons.math3.optimization.fitting.PolynomialFitterTest::testLargeSample,0,36,False,False
Math,14,AbstractLeastSquaresOptimizer,266,298,1,1,,,org.apache.commons.math3.fitting.PolynomialFitterTest::testLargeSample,0,0,False,False
Math,16,FastMath,81,2044,2,2,,,org.apache.commons.math3.util.FastMathTest::testMath905LargeNegative;org.apache.commons.math3.util.FastMathTest::testMath905LargePositive,0,0,False,False
Math,17,Dfp,1602,940,1,2,,org.apache.commons.math3.dfp.DfpMathTest::testPow,org.apache.commons.math3.dfp.DfpTest::testMultiply,0,1,False,False
Math,19,CMAESOptimizer,539,1013,1,1,,,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest::testBoundaryRangeTooLarge,0,0,False,False
Math,20,CMAESOptimizer,921,611,1,1,,,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest::testMath864,0,0,False,False
