bug,jira_id,jira_url,root_cause,exception
Lang_12,LANG-805,https://issues.apache.org/jira/browse/LANG-805,- org.apache.commons.lang3.RandomStringUtilsTest::testExceptions,java.lang.ArrayIndexOutOfBoundsException: 1859709389
Lang_13,LANG-788,https://issues.apache.org/jira/browse/LANG-788,- org.apache.commons.lang3.SerializationUtilsTest::testPrimitiveTypeClassSerialization,org.apache.commons.lang3.SerializationException: ClassNotFoundException while reading cloned object data
Lang_14,LANG-786,https://issues.apache.org/jira/browse/LANG-786,- org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testEquals,junit.framework.AssertionFailedError
Lang_15,LANG-775,https://issues.apache.org/jira/browse/LANG-775,- org.apache.commons.lang3.reflect.TypeUtilsTest::testGetTypeArguments,"junit.framework.AssertionFailedError: type class org.apache.commons.lang3.reflect.TypeUtilsTest$Thing not assignable to org.apache.commons.lang3.reflect.TypeUtilsTest$This<java.lang.String, java.lang.String>!"
Lang_16,LANG-746,https://issues.apache.org/jira/browse/LANG-746,- org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,java.lang.NumberFormatException: 0Xfade is not a valid number.
Lang_17,LANG-720,https://issues.apache.org/jira/browse/LANG-720,- org.apache.commons.lang3.StringEscapeUtilsTest::testLang720,junit.framework.ComparisonFailure: expected:<𠮷[A]> but was:<𠮷[?]>
Lang_19,LANG-710,https://issues.apache.org/jira/browse/LANG-710,- org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testUnfinishedEntity,java.lang.StringIndexOutOfBoundsException: String index out of range: 7
Lang_20,LANG-703,https://issues.apache.org/jira/browse/LANG-703,- org.apache.commons.lang3.StringUtilsTest::testJoin_ArrayChar,java.lang.NullPointerException
Lang_21,LANG-677,https://issues.apache.org/jira/browse/LANG-677,- org.apache.commons.lang3.time.DateUtilsTest::testIsSameLocalTime_Cal,junit.framework.AssertionFailedError: LANG-677
Lang_22,LANG-662,https://issues.apache.org/jira/browse/LANG-662,- org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,junit.framework.AssertionFailedError: expected:<-1073741824> but was:<-2147483648>
Lang_23,LANG-636,https://issues.apache.org/jira/browse/LANG-636,- org.apache.commons.lang3.text.ExtendedMessageFormatTest::testEqualsHashcode,"junit.framework.AssertionFailedError: registry, hashcode()"
Lang_24,LANG-664,https://issues.apache.org/jira/browse/LANG-664,- org.apache.commons.lang3.math.NumberUtilsTest::testIsNumber,junit.framework.AssertionFailedError: isNumber(String) LANG-664 failed
Lang_26,LANG-645,https://issues.apache.org/jira/browse/LANG-645,- org.apache.commons.lang3.time.FastDateFormatTest::testLang645,"junit.framework.ComparisonFailure: expected:<fredag, week [53]> but was:<fredag, week [01]>"
Lang_27,LANG-638,https://issues.apache.org/jira/browse/LANG-638,- org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,java.lang.StringIndexOutOfBoundsException: String index out of range: 4
Lang_28,LANG-617,https://issues.apache.org/jira/browse/LANG-617,- org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testSupplementaryUnescaping,junit.framework.ComparisonFailure: Failed to unescape numeric entities supplementary characters expected:<[𐰢]> but was:<[ఢ]>
Lang_29,LANG-624,https://issues.apache.org/jira/browse/LANG-624,- org.apache.commons.lang3.SystemUtilsTest::testJavaVersionAsInt,junit.framework.AssertionFailedError: expected:<0> but was:<0.0>
Lang_30,LANG-607,https://issues.apache.org/jira/browse/LANG-607,- org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsNone_CharArrayWithSupplementaryChars,junit.framework.AssertionFailedError: expected:<true> but was:<false>
Lang_31,LANG-607,https://issues.apache.org/jira/browse/LANG-607,- org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testContainsAnyCharArrayWithSupplementaryChars,junit.framework.AssertionFailedError: expected:<false> but was:<true>
Lang_32,LANG-586,https://issues.apache.org/jira/browse/LANG-586,- org.apache.commons.lang3.builder.HashCodeBuilderTest::testReflectionObjectCycle,junit.framework.AssertionFailedError: Expected: <null> but was: []
Lang_33,LANG-587,https://issues.apache.org/jira/browse/LANG-587,- org.apache.commons.lang3.ClassUtilsTest::testToClass_object,java.lang.NullPointerException
Lang_34,LANG-586,https://issues.apache.org/jira/browse/LANG-586,- org.apache.commons.lang3.builder.ToStringBuilderTest::testObjectCycle,junit.framework.AssertionFailedError: Expected: <null> but was: {}
Lang_35,LANG-571,https://issues.apache.org/jira/browse/LANG-571,- org.apache.commons.lang3.ArrayUtilsAddTest::testLANG571,java.lang.ClassCastException: [Ljava.lang.Object; cannot be cast to [Ljava.lang.String;
Lang_36,LANG-521,https://issues.apache.org/jira/browse/LANG-521,- org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,junit.framework.AssertionFailedError: isNumber(String) LANG-521 failed
Lang_37,LANG-567,https://issues.apache.org/jira/browse/LANG-567,- org.apache.commons.lang3.ArrayUtilsAddTest::testJira567,java.lang.ArrayStoreException
Lang_38,LANG-538,https://issues.apache.org/jira/browse/LANG-538,- org.apache.commons.lang3.time.FastDateFormatTest::testLang538,junit.framework.ComparisonFailure: dateTime expected:<2009-10-16T[16]:42:16.000Z> but was:<2009-10-16T[08]:42:16.000Z>
Lang_39,LANG-552,https://issues.apache.org/jira/browse/LANG-552,- org.apache.commons.lang3.StringUtilsTest::testReplace_StringStringArrayStringArray,java.lang.NullPointerException
Lang_40,LANG-432,https://issues.apache.org/jira/browse/LANG-432,- org.apache.commons.lang.StringUtilsEqualsIndexOfTest::testContainsIgnoreCase_LocaleIndependence,junit.framework.AssertionFailedError: en: 0 ß SS
Lang_41,LANG-535,https://issues.apache.org/jira/browse/LANG-535,- org.apache.commons.lang.ClassUtilsTest::test_getShortClassName_Class,junit.framework.ComparisonFailure: expected:<[]java.lang> but was:<[[L]java.lang>
Lang_42,LANG-480,https://issues.apache.org/jira/browse/LANG-480,- org.apache.commons.lang.StringEscapeUtilsTest::testEscapeHtmlHighUnicode,junit.framework.ComparisonFailure: High unicode was not escaped correctly expected:<&#[119650];> but was:<&#[55348;&#57186];>
Lang_43,LANG-477,https://issues.apache.org/jira/browse/LANG-477,- org.apache.commons.lang.text.ExtendedMessageFormatTest::testEscapedQuote_LANG_477,java.lang.OutOfMemoryError: Java heap space
Lang_44,LANG-457,https://issues.apache.org/jira/browse/LANG-457,- org.apache.commons.lang.NumberUtilsTest::testLang457,java.lang.StringIndexOutOfBoundsException: String index out of range: 0
Lang_45,LANG-419,https://issues.apache.org/jira/browse/LANG-419,- org.apache.commons.lang.WordUtilsTest::testAbbreviate,java.lang.StringIndexOutOfBoundsException: String index out of range: 15
Lang_46,LANG-421,https://issues.apache.org/jira/browse/LANG-421,- org.apache.commons.lang.StringEscapeUtilsTest::testEscapeJavaWithSlash,junit.framework.ComparisonFailure: expected:<...tring with a slash ([]/) in it> but was:<...tring with a slash ([\]/) in it>
Lang_47,LANG-412,https://issues.apache.org/jira/browse/LANG-412,- org.apache.commons.lang.text.StrBuilderTest::testLang412Left,java.lang.NullPointerException
Lang_49,LANG-380,https://issues.apache.org/jira/browse/LANG-380,- org.apache.commons.lang.math.FractionTest::testReduce,junit.framework.AssertionFailedError: expected:<1> but was:<100>
Lang_50,LANG-368,https://issues.apache.org/jira/browse/LANG-368,- org.apache.commons.lang.time.FastDateFormatTest::test_changeDefault_Locale_DateInstance,junit.framework.AssertionFailedError: expected same:<de_DE> was not:<en_US>
Lang_51,LANG-365,https://issues.apache.org/jira/browse/LANG-365,- org.apache.commons.lang.BooleanUtilsTest::test_toBoolean_String,java.lang.StringIndexOutOfBoundsException: String index out of range: 3
Lang_52,LANG-363,https://issues.apache.org/jira/browse/LANG-363,- org.apache.commons.lang.StringEscapeUtilsTest::testEscapeJavaScript,junit.framework.ComparisonFailure: expected:<...ipt>alert(\'aaa\');<[\]/script>\';> but was:<...ipt>alert(\'aaa\');<[]/script>\';>
Lang_53,LANG-346,https://issues.apache.org/jira/browse/LANG-346,- org.apache.commons.lang.time.DateUtilsTest::testRoundLang346,junit.framework.AssertionFailedError: Minute Round Up Failed expected:<Mon Jul 02 08:09:00 PDT 2007> but was:<Mon Jul 02 08:01:00 PDT 2007>
Lang_54,LANG-328,https://issues.apache.org/jira/browse/LANG-328,- org.apache.commons.lang.LocaleUtilsTest::testLang328,java.lang.IllegalArgumentException: Invalid locale format: fr__POSIX
Lang_55,LANG-315,https://issues.apache.org/jira/browse/LANG-315,- org.apache.commons.lang.time.StopWatchTest::testLang315,junit.framework.AssertionFailedError
Lang_56,LANG-303,https://issues.apache.org/jira/browse/LANG-303,- org.apache.commons.lang.time.FastDateFormatTest::testLang303,org.apache.commons.lang.SerializationException: java.io.NotSerializableException: org.apache.commons.lang.time.FastDateFormat$PaddedNumberField
Lang_57,LANG-304,https://issues.apache.org/jira/browse/LANG-304,- org.apache.commons.lang.LocaleUtilsTest::testAvailableLocaleSet,java.lang.NullPointerException
Lang_58,LANG-300,https://issues.apache.org/jira/browse/LANG-300,- org.apache.commons.lang.math.NumberUtilsTest::testLang300,java.lang.NumberFormatException: 1l is not a valid number.
Lang_59,LANG-299,https://issues.apache.org/jira/browse/LANG-299,- org.apache.commons.lang.text.StrBuilderAppendInsertTest::testLang299,java.lang.ArrayIndexOutOfBoundsException
Lang_60,LANG-295,https://issues.apache.org/jira/browse/LANG-295,- org.apache.commons.lang.text.StrBuilderTest::testLang295,junit.framework.AssertionFailedError: The contains(char) method is looking beyond the end of the string
Lang_61,LANG-294,https://issues.apache.org/jira/browse/LANG-294,- org.apache.commons.lang.text.StrBuilderTest::testIndexOfLang294,java.lang.ArrayIndexOutOfBoundsException
